page_id,access_count,classification
703,146,hot
704,153,hot
705,139,hot
706,157,hot
707,162,hot
708,131,hot
709,141,hot
710,153,hot
711,157,hot
712,151,hot
713,156,hot
714,145,hot
715,152,hot
716,140,hot
717,171,hot
718,153,hot
719,140,hot
720,161,hot
721,147,hot
722,172,hot
723,154,hot
724,161,hot
725,159,hot
726,133,hot
727,161,hot
728,152,hot
729,165,hot
730,164,hot
731,152,hot
732,186,hot
733,142,hot
734,142,hot
735,189,hot
736,147,hot
737,159,hot
738,161,hot
739,167,hot
740,149,hot
741,176,hot
742,139,hot
743,176,hot
744,153,hot
745,160,hot
746,157,hot
747,144,hot
748,153,hot
749,162,hot
750,160,hot
751,162,hot
752,162,hot
753,179,hot
754,149,hot
755,150,hot
756,154,hot
757,149,hot
758,124,hot
759,157,hot
760,157,hot
761,161,hot
762,174,hot
763,146,hot
764,156,hot
765,141,hot
766,154,hot
767,140,hot
768,148,hot
769,165,hot
770,142,hot
771,145,hot
772,153,hot
773,145,hot
774,154,hot
775,161,hot
776,158,hot
777,154,hot
778,171,hot
779,170,hot
780,148,hot
781,176,hot
782,137,hot
783,179,hot
784,150,hot
785,158,hot
786,156,hot
787,167,hot
788,157,hot
789,161,hot
790,147,hot
791,158,hot
792,165,hot
793,168,hot
794,165,hot
795,133,hot
796,156,hot
797,177,hot
798,144,hot
799,152,hot
800,153,hot
801,165,hot
802,151,hot
803,177,hot
804,148,hot
805,186,hot
806,147,hot
807,158,hot
808,146,hot
809,157,hot
810,154,hot
811,162,hot
812,137,hot
813,185,hot
814,140,hot
815,160,hot
816,135,hot
817,134,hot
818,154,hot
819,153,hot
820,158,hot
821,187,hot
822,171,hot
823,139,hot
824,164,hot
825,155,hot
826,156,hot
827,175,hot
828,141,hot
829,147,hot
830,152,hot
831,174,hot
832,147,hot
833,167,hot
834,172,hot
835,135,hot
836,127,hot
837,164,hot
838,174,hot
839,152,hot
840,155,hot
841,152,hot
842,133,hot
843,154,hot
844,157,hot
845,149,hot
846,151,hot
847,174,hot
848,147,hot
849,178,hot
850,139,hot
851,160,hot
852,158,hot
853,144,hot
854,154,hot
855,164,hot
856,151,hot
857,172,hot
858,183,hot
859,130,hot
860,163,hot
861,152,hot
862,141,hot
863,157,hot
864,148,hot
865,143,hot
866,155,hot
867,157,hot
868,141,hot
869,141,hot
870,195,hot
871,150,hot
872,143,hot
873,156,hot
874,166,hot
875,171,hot
876,145,hot
877,150,hot
878,157,hot
879,136,hot
880,151,hot
881,151,hot
882,192,hot
883,163,hot
884,150,hot
885,150,hot
886,142,hot
887,162,hot
888,142,hot
889,146,hot
890,131,hot
891,203,hot
892,169,hot
893,160,hot
894,173,hot
895,165,hot
896,153,hot
897,155,hot
898,188,hot
899,152,hot
900,167,hot
901,167,hot
902,167,hot
903,168,hot
904,162,hot
905,158,hot
906,167,hot
907,164,hot
908,150,hot
909,168,hot
910,168,hot
911,152,hot
912,155,hot
913,179,hot
914,137,hot
915,158,hot
916,179,hot
917,139,hot
918,147,hot
919,163,hot
920,175,hot
921,149,hot
922,142,hot
923,157,hot
924,163,hot
925,145,hot
926,155,hot
927,164,hot
928,148,hot
929,152,hot
930,167,hot
931,171,hot
932,162,hot
933,148,hot
934,145,hot
935,154,hot
936,165,hot
937,159,hot
938,168,hot
939,150,hot
940,151,hot
941,142,hot
942,168,hot
943,142,hot
944,164,hot
945,165,hot
946,148,hot
947,151,hot
948,160,hot
949,161,hot
950,147,hot
951,165,hot
952,172,hot
953,160,hot
954,145,hot
955,143,hot
956,156,hot
957,159,hot
958,148,hot
959,172,hot
960,183,hot
961,155,hot
962,150,hot
963,175,hot
964,175,hot
965,167,hot
966,168,hot
967,154,hot
968,194,hot
969,144,hot
970,152,hot
971,152,hot
972,149,hot
973,172,hot
974,162,hot
975,182,hot
976,155,hot
977,169,hot
978,143,hot
979,146,hot
980,159,hot
981,151,hot
982,148,hot
983,140,hot
984,160,hot
985,185,hot
986,148,hot
987,145,hot
988,163,hot
989,134,hot
990,156,hot
991,150,hot
992,168,hot
993,161,hot
994,168,hot
995,152,hot
996,161,hot
997,156,hot
998,143,hot
999,174,hot
1000,150,hot
1001,169,hot
1002,163,hot
1003,166,hot
1004,162,hot
1005,158,hot
1006,168,hot
1007,155,hot
1008,160,hot
1009,167,hot
1010,156,hot
1011,162,hot
1012,156,hot
1013,158,hot
1014,165,hot
1015,170,hot
1016,157,hot
1017,148,hot
1018,153,hot
1019,163,hot
1020,176,hot
1021,157,hot
1022,157,hot
1023,159,hot
1024,155,hot
1025,173,hot
1026,154,hot
1027,178,hot
1028,177,hot
1029,159,hot
1030,159,hot
1031,144,hot
1032,160,hot
1033,145,hot
1034,145,hot
1035,151,hot
1036,157,hot
1037,146,hot
1038,184,hot
1039,169,hot
1040,183,hot
1041,155,hot
1042,144,hot
1043,144,hot
1044,155,hot
1045,158,hot
1046,164,hot
1047,170,hot
1048,163,hot
1049,179,hot
1050,164,hot
1051,146,hot
1052,163,hot
1053,163,hot
1054,150,hot
1055,176,hot
1056,202,hot
1057,149,hot
1058,169,hot
1059,144,hot
1060,166,hot
1061,172,hot
1062,167,hot
1063,156,hot
1064,158,hot
1065,158,hot
1066,177,hot
1067,180,hot
1068,154,hot
1069,157,hot
1070,168,hot
1071,158,hot
1072,163,hot
1073,150,hot
1074,173,hot
1075,160,hot
1076,158,hot
1077,150,hot
1078,162,hot
1079,145,hot
1080,158,hot
1081,171,hot
1082,150,hot
1083,152,hot
1084,167,hot
1085,156,hot
1086,138,hot
1087,192,hot
1088,159,hot
1089,153,hot
