page_id,access_count,classification,target_node,result
452,142,cold,1,simulated
453,174,hot,0,simulated
454,177,cold,1,simulated
455,162,cold,1,simulated
456,151,cold,1,simulated
457,148,hot,0,simulated
458,162,hot,0,simulated
459,150,hot,0,simulated
460,169,cold,1,simulated
461,165,cold,1,simulated
462,160,cold,1,simulated
463,137,hot,0,simulated
464,175,cold,1,simulated
465,150,cold,1,simulated
466,152,hot,0,simulated
467,159,hot,0,simulated
468,162,hot,0,simulated
469,127,cold,1,simulated
470,166,hot,0,simulated
471,154,cold,1,simulated
472,147,hot,0,simulated
473,142,hot,0,simulated
474,166,hot,0,simulated
475,173,hot,0,simulated
476,175,cold,1,simulated
477,157,cold,1,simulated
478,159,hot,0,simulated
479,147,cold,1,simulated
480,175,hot,0,simulated
481,126,cold,1,simulated
482,155,cold,1,simulated
483,144,hot,0,simulated
484,161,cold,1,simulated
485,171,hot,0,simulated
486,158,hot,0,simulated
487,167,hot,0,simulated
488,161,hot,0,simulated
489,148,hot,0,simulated
490,162,hot,0,simulated
491,137,cold,1,simulated
492,160,cold,1,simulated
493,145,hot,0,simulated
494,142,hot,0,simulated
495,149,hot,0,simulated
496,173,hot,0,simulated
497,165,hot,0,simulated
498,149,cold,1,simulated
499,169,cold,1,simulated
500,150,hot,0,simulated
501,158,hot,0,simulated
502,136,cold,1,simulated
503,163,hot,0,simulated
504,147,hot,0,simulated
505,165,cold,1,simulated
506,158,hot,0,simulated
507,136,hot,0,simulated
508,167,hot,0,simulated
509,163,cold,1,simulated
510,169,hot,0,simulated
511,177,hot,0,simulated
512,143,cold,1,simulated
513,164,hot,0,simulated
514,168,hot,0,simulated
515,169,cold,1,simulated
516,131,cold,1,simulated
517,148,hot,0,simulated
518,139,cold,1,simulated
519,152,cold,1,simulated
520,153,hot,0,simulated
521,144,hot,0,simulated
522,182,hot,0,simulated
523,142,hot,0,simulated
524,150,hot,0,simulated
525,169,hot,0,simulated
526,140,cold,1,simulated
527,160,cold,1,simulated
528,162,hot,0,simulated
529,143,hot,0,simulated
530,151,hot,0,simulated
531,167,cold,1,simulated
532,154,cold,1,simulated
533,133,hot,0,simulated
534,153,cold,1,simulated
535,149,hot,0,simulated
536,175,hot,0,simulated
537,144,cold,1,simulated
538,145,hot,0,simulated
539,155,cold,1,simulated
540,136,cold,1,simulated
541,170,cold,1,simulated
542,157,cold,1,simulated
543,165,hot,0,simulated
544,170,hot,0,simulated
545,156,cold,1,simulated
546,151,cold,1,simulated
547,148,hot,0,simulated
548,148,hot,0,simulated
549,161,cold,1,simulated
550,139,hot,0,simulated
551,151,hot,0,simulated
552,151,cold,1,simulated
553,149,cold,1,simulated
554,158,hot,0,simulated
555,147,hot,0,simulated
556,150,hot,0,simulated
557,144,hot,0,simulated
558,141,hot,0,simulated
559,139,cold,1,simulated
560,146,cold,1,simulated
561,175,hot,0,simulated
562,157,cold,1,simulated
563,155,hot,0,simulated
564,150,hot,0,simulated
565,169,cold,1,simulated
566,146,hot,0,simulated
567,178,cold,1,simulated
568,179,hot,0,simulated
569,171,hot,0,simulated
570,134,hot,0,simulated
571,163,hot,0,simulated
572,142,hot,0,simulated
573,154,cold,1,simulated
574,153,hot,0,simulated
575,177,cold,1,simulated
576,141,cold,1,simulated
577,156,hot,0,simulated
578,174,cold,1,simulated
579,163,hot,0,simulated
580,162,cold,1,simulated
581,143,cold,1,simulated
582,161,hot,0,simulated
583,157,hot,0,simulated
584,142,hot,0,simulated
585,162,cold,1,simulated
586,156,cold,1,simulated
587,133,hot,0,simulated
588,175,hot,0,simulated
589,166,hot,0,simulated
590,152,hot,0,simulated
591,170,hot,0,simulated
592,126,cold,1,simulated
593,172,hot,0,simulated
594,145,hot,0,simulated
595,170,hot,0,simulated
596,140,hot,0,simulated
597,136,hot,0,simulated
598,142,hot,0,simulated
599,154,hot,0,simulated
600,180,hot,0,simulated
601,139,hot,0,simulated
602,161,hot,0,simulated
603,160,cold,1,simulated
604,159,hot,0,simulated
605,161,hot,0,simulated
606,151,hot,0,simulated
607,164,hot,0,simulated
608,150,cold,1,simulated
609,145,cold,1,simulated
610,175,hot,0,simulated
611,159,hot,0,simulated
612,142,hot,0,simulated
613,138,hot,0,simulated
614,149,hot,0,simulated
615,155,hot,0,simulated
616,136,hot,0,simulated
617,146,hot,0,simulated
618,168,hot,0,simulated
619,140,cold,1,simulated
620,158,hot,0,simulated
621,153,hot,0,simulated
622,150,hot,0,simulated
623,147,hot,0,simulated
624,159,hot,0,simulated
625,172,hot,0,simulated
626,175,hot,0,simulated
627,164,hot,0,simulated
628,155,hot,0,simulated
629,159,hot,0,simulated
630,159,cold,1,simulated
631,169,hot,0,simulated
632,178,hot,0,simulated
633,153,hot,0,simulated
634,170,hot,0,simulated
635,165,hot,0,simulated
636,165,hot,0,simulated
637,156,hot,0,simulated
638,149,hot,0,simulated
639,163,hot,0,simulated
640,182,hot,0,simulated
641,155,hot,0,simulated
642,139,hot,0,simulated
643,143,hot,0,simulated
644,165,hot,0,simulated
645,169,cold,1,simulated
646,157,hot,0,simulated
647,150,hot,0,simulated
648,150,hot,0,simulated
649,148,cold,1,simulated
650,148,cold,1,simulated
651,154,hot,0,simulated
652,146,cold,1,simulated
653,143,hot,0,simulated
654,150,hot,0,simulated
655,157,hot,0,simulated
656,171,hot,0,simulated
657,172,hot,0,simulated
658,162,hot,0,simulated
659,160,hot,0,simulated
660,153,cold,1,simulated
661,154,hot,0,simulated
662,140,hot,0,simulated
663,146,cold,1,simulated
664,141,cold,1,simulated
665,195,hot,0,simulated
666,151,cold,1,simulated
667,150,hot,0,simulated
668,178,hot,0,simulated
669,165,hot,0,simulated
670,174,cold,1,simulated
671,159,hot,0,simulated
672,165,hot,0,simulated
673,166,hot,0,simulated
674,147,cold,1,simulated
675,143,cold,1,simulated
676,156,hot,0,simulated
677,155,cold,1,simulated
678,169,hot,0,simulated
679,141,hot,0,simulated
680,164,hot,0,simulated
681,166,cold,1,simulated
682,147,hot,0,simulated
683,140,cold,1,simulated
684,158,hot,0,simulated
685,148,hot,0,simulated
686,167,hot,0,simulated
687,140,cold,1,simulated
688,131,hot,0,simulated
689,172,hot,0,simulated
690,177,hot,0,simulated
691,169,hot,0,simulated
692,158,hot,0,simulated
693,165,hot,0,simulated
694,124,hot,0,simulated
695,171,hot,0,simulated
696,155,hot,0,simulated
697,138,hot,0,simulated
698,163,hot,0,simulated
699,139,hot,0,simulated
700,130,cold,1,simulated
701,139,hot,0,simulated
702,156,cold,1,simulated
703,178,hot,0,simulated
704,156,hot,0,simulated
705,156,hot,0,simulated
706,154,cold,1,simulated
707,184,cold,1,simulated
708,137,cold,1,simulated
709,176,cold,1,simulated
710,152,hot,0,simulated
711,163,hot,0,simulated
712,164,cold,1,simulated
713,135,hot,0,simulated
714,148,cold,1,simulated
715,147,hot,0,simulated
716,152,hot,0,simulated
717,148,hot,0,simulated
718,150,hot,0,simulated
719,168,hot,0,simulated
720,176,hot,0,simulated
721,154,hot,0,simulated
722,149,hot,0,simulated
723,151,hot,0,simulated
724,170,hot,0,simulated
725,168,hot,0,simulated
726,161,cold,1,simulated
727,149,hot,0,simulated
728,156,hot,0,simulated
729,164,hot,0,simulated
730,145,hot,0,simulated
731,152,hot,0,simulated
732,165,hot,0,simulated
733,138,cold,1,simulated
734,163,hot,0,simulated
735,165,hot,0,simulated
736,148,hot,0,simulated
737,152,cold,1,simulated
738,148,hot,0,simulated
739,151,hot,0,simulated
740,178,cold,1,simulated
741,157,hot,0,simulated
742,132,hot,0,simulated
743,163,hot,0,simulated
744,152,hot,0,simulated
745,150,hot,0,simulated
746,143,cold,1,simulated
747,146,hot,0,simulated
748,135,cold,1,simulated
749,176,hot,0,simulated
750,153,hot,0,simulated
751,154,cold,1,simulated
752,156,hot,0,simulated
753,159,hot,0,simulated
754,198,hot,0,simulated
755,153,hot,0,simulated
756,184,hot,0,simulated
757,158,hot,0,simulated
758,157,hot,0,simulated
759,179,cold,1,simulated
760,149,hot,0,simulated
761,154,hot,0,simulated
762,160,hot,0,simulated
763,136,cold,1,simulated
764,148,cold,1,simulated
765,139,cold,1,simulated
766,139,hot,0,simulated
767,161,hot,0,simulated
768,166,hot,0,simulated
769,148,hot,0,simulated
770,170,hot,0,simulated
771,146,hot,0,simulated
772,166,hot,0,simulated
773,175,hot,0,simulated
774,147,hot,0,simulated
775,180,hot,0,simulated
776,163,hot,0,simulated
777,159,hot,0,simulated
778,150,hot,0,simulated
779,153,hot,0,simulated
780,164,hot,0,simulated
781,160,hot,0,simulated
782,151,cold,1,simulated
783,146,cold,1,simulated
784,161,hot,0,simulated
785,142,hot,0,simulated
786,178,hot,0,simulated
787,137,hot,0,simulated
788,139,hot,0,simulated
789,177,hot,0,simulated
790,173,hot,0,simulated
791,159,hot,0,simulated
792,133,cold,1,simulated
793,148,hot,0,simulated
794,158,hot,0,simulated
795,135,hot,0,simulated
796,152,cold,1,simulated
797,159,hot,0,simulated
798,158,hot,0,simulated
799,161,hot,0,simulated
800,152,hot,0,simulated
801,173,hot,0,simulated
802,156,hot,0,simulated
803,164,hot,0,simulated
804,121,cold,1,simulated
805,179,hot,0,simulated
806,148,hot,0,simulated
807,158,hot,0,simulated
808,157,cold,1,simulated
809,175,hot,0,simulated
810,167,hot,0,simulated
811,158,cold,1,simulated
812,164,hot,0,simulated
813,162,hot,0,simulated
814,142,hot,0,simulated
815,146,hot,0,simulated
816,167,hot,0,simulated
817,170,hot,0,simulated
818,165,hot,0,simulated
819,154,cold,1,simulated
820,159,cold,1,simulated
821,153,cold,1,simulated
822,170,hot,0,simulated
823,156,hot,0,simulated
824,153,cold,1,simulated
825,155,hot,0,simulated
826,189,hot,0,simulated
827,155,hot,0,simulated
828,152,cold,1,simulated
829,156,hot,0,simulated
830,173,hot,0,simulated
831,162,hot,0,simulated
832,153,cold,1,simulated
833,138,hot,0,simulated
834,162,hot,0,simulated
835,146,cold,1,simulated
836,147,hot,0,simulated
837,164,hot,0,simulated
838,157,hot,0,simulated
839,146,cold,1,simulated
840,158,cold,1,simulated
841,148,hot,0,simulated
842,172,hot,0,simulated
843,154,hot,0,simulated
844,149,hot,0,simulated
845,169,hot,0,simulated
846,156,hot,0,simulated
847,167,cold,1,simulated
848,136,hot,0,simulated
849,158,hot,0,simulated
850,142,hot,0,simulated
851,166,cold,1,simulated
852,153,cold,1,simulated
853,150,cold,1,simulated
854,132,hot,0,simulated
855,157,hot,0,simulated
856,160,hot,0,simulated
857,163,hot,0,simulated
858,180,cold,1,simulated
859,171,hot,0,simulated
860,167,hot,0,simulated
861,157,cold,1,simulated
862,166,hot,0,simulated
863,162,hot,0,simulated
864,140,hot,0,simulated
865,146,cold,1,simulated
866,147,hot,0,simulated
867,161,cold,1,simulated
868,154,cold,1,simulated
869,146,hot,0,simulated
870,150,cold,1,simulated
871,157,hot,0,simulated
872,172,hot,0,simulated
873,157,hot,0,simulated
874,138,cold,1,simulated
875,147,hot,0,simulated
876,174,hot,0,simulated
877,165,hot,0,simulated
878,158,hot,0,simulated
879,155,hot,0,simulated
880,173,hot,0,simulated
881,156,hot,0,simulated
882,152,cold,1,simulated
883,151,hot,0,simulated
884,157,cold,1,simulated
885,157,hot,0,simulated
886,147,hot,0,simulated
887,133,cold,1,simulated
888,155,hot,0,simulated
889,164,hot,0,simulated
890,157,hot,0,simulated
891,179,hot,0,simulated
892,167,hot,0,simulated
893,150,hot,0,simulated
894,168,hot,0,simulated
895,147,cold,1,simulated
896,164,hot,0,simulated
897,159,hot,0,simulated
898,156,hot,0,simulated
899,150,hot,0,simulated
900,190,hot,0,simulated
901,159,hot,0,simulated
902,171,hot,0,simulated
903,143,hot,0,simulated
904,142,hot,0,simulated
905,157,hot,0,simulated
906,155,hot,0,simulated
907,154,cold,1,simulated
908,146,hot,0,simulated
909,166,hot,0,simulated
910,154,cold,1,simulated
911,158,cold,1,simulated
912,176,hot,0,simulated
913,177,hot,0,simulated
914,146,hot,0,simulated
915,167,hot,0,simulated
916,167,hot,0,simulated
917,142,cold,1,simulated
918,158,cold,1,simulated
919,178,hot,0,simulated
920,165,hot,0,simulated
921,153,cold,1,simulated
922,145,hot,0,simulated
923,153,hot,0,simulated
924,126,hot,0,simulated
925,168,hot,0,simulated
926,133,hot,0,simulated
927,156,cold,1,simulated
928,161,hot,0,simulated
929,169,hot,0,simulated
930,175,hot,0,simulated
931,150,hot,0,simulated
932,140,cold,1,simulated
933,165,hot,0,simulated
934,146,cold,1,simulated
935,168,hot,0,simulated
936,132,cold,1,simulated
937,158,hot,0,simulated
938,183,hot,0,simulated
939,145,hot,0,simulated
940,161,cold,1,simulated
941,163,cold,1,simulated
942,150,cold,1,simulated
943,168,hot,0,simulated
944,178,cold,1,simulated
945,154,cold,1,simulated
946,146,hot,0,simulated
947,173,hot,0,simulated
948,145,hot,0,simulated
949,147,hot,0,simulated
950,147,cold,1,simulated
951,169,hot,0,simulated
952,163,hot,0,simulated
953,172,cold,1,simulated
954,166,hot,0,simulated
955,149,hot,0,simulated
956,158,hot,0,simulated
957,157,hot,0,simulated
958,148,hot,0,simulated
959,141,hot,0,simulated
960,156,hot,0,simulated
961,174,cold,1,simulated
962,174,hot,0,simulated
963,143,cold,1,simulated
964,155,hot,0,simulated
965,161,hot,0,simulated
966,161,hot,0,simulated
967,142,hot,0,simulated
968,134,hot,0,simulated
969,164,cold,1,simulated
970,147,hot,0,simulated
971,144,cold,1,simulated
972,161,hot,0,simulated
973,162,cold,1,simulated
974,158,hot,0,simulated
975,155,hot,0,simulated
976,168,hot,0,simulated
977,142,hot,0,simulated
978,189,cold,1,simulated
979,169,hot,0,simulated
980,139,hot,0,simulated
981,180,hot,0,simulated
982,176,cold,1,simulated
983,165,hot,0,simulated
984,152,hot,0,simulated
985,153,cold,1,simulated
986,153,hot,0,simulated
987,165,hot,0,simulated
988,157,hot,0,simulated
989,176,cold,1,simulated
990,153,cold,1,simulated
991,159,hot,0,simulated
992,168,hot,0,simulated
993,157,hot,0,simulated
994,164,cold,1,simulated
995,156,cold,1,simulated
996,167,hot,0,simulated
997,170,hot,0,simulated
998,145,hot,0,simulated
999,152,cold,1,simulated
1000,152,cold,1,simulated
1001,141,cold,1,simulated
1002,176,hot,0,simulated
1003,153,hot,0,simulated
1004,163,hot,0,simulated
1005,148,hot,0,simulated
1006,160,cold,1,simulated
1007,137,hot,0,simulated
1008,167,cold,1,simulated
1009,141,cold,1,simulated
1010,137,hot,0,simulated
1011,145,hot,0,simulated
1012,147,cold,1,simulated
1013,155,cold,1,simulated
1014,144,hot,0,simulated
1015,161,hot,0,simulated
1016,166,hot,0,simulated
1017,153,hot,0,simulated
1018,169,hot,0,simulated
1019,155,hot,0,simulated
1020,177,cold,1,simulated
1021,150,hot,0,simulated
1022,134,hot,0,simulated
1023,152,cold,1,simulated
1024,146,hot,0,simulated
1025,164,hot,0,simulated
1026,137,hot,0,simulated
1027,152,hot,0,simulated
1028,184,hot,0,simulated
1029,149,hot,0,simulated
1030,150,cold,1,simulated
1031,162,cold,1,simulated
1032,167,hot,0,simulated
1033,196,hot,0,simulated
1034,140,cold,1,simulated
1035,150,cold,1,simulated
1036,142,cold,1,simulated
1037,168,hot,0,simulated
1038,162,hot,0,simulated
1039,147,cold,1,simulated
1040,145,cold,1,simulated
1041,167,hot,0,simulated
1042,154,hot,0,simulated
1043,140,cold,1,simulated
1044,166,hot,0,simulated
1045,167,hot,0,simulated
1046,151,hot,0,simulated
1047,147,cold,1,simulated
1048,135,hot,0,simulated
1049,144,hot,0,simulated
1050,163,hot,0,simulated
1051,155,hot,0,simulated
1052,179,hot,0,simulated
1053,165,hot,0,simulated
1054,165,hot,0,simulated
1055,146,cold,1,simulated
1056,165,cold,1,simulated
1057,153,hot,0,simulated
1058,138,hot,0,simulated
1059,180,hot,0,simulated
1060,155,hot,0,simulated
1061,152,cold,1,simulated
1062,168,cold,1,simulated
1063,138,hot,0,simulated
1064,159,cold,1,simulated
1065,170,cold,1,simulated
1066,142,hot,0,simulated
